시장/마트 이름,품목 번호,품목 이름,실판매규격,가격(원),년도-월,비고,시장유형 구분(시장/마트) 이름,자치구 이름,년도,월,카테고리
인왕시장,79.0,사이다 1.5L 1병,,2650.0,2024-11,,전통시장,서대문구,2024,11,음료
관악신사시장(신림4동),77.0,생수 500ml 1병,,600.0,2024-11,,전통시장,관악구,2024,11,음료
관악신사시장(신림4동),75.0,"소주 360ml, 1병",,1600.0,2024-11,,전통시장,관악구,2024,11,음료
관악신사시장(신림4동),76.0,맥주 500ml 1캔,,2250.0,2024-11,,전통시장,관악구,2024,11,음료
관악신사시장(신림4동),79.0,사이다 1.5L 1병,,2700.0,2024-11,,전통시장,관악구,2024,11,음료
포방터시장,77.0,생수 500ml 1병,,600.0,2024-11,,전통시장,서대문구,2024,11,음료
포방터시장,75.0,"소주 360ml, 1병",,1600.0,2024-11,,전통시장,서대문구,2024,11,음료
포방터시장,76.0,맥주 500ml 1캔,,2400.0,2024-11,,전통시장,서대문구,2024,11,음료
포방터시장,79.0,사이다 1.5L 1병,,3000.0,2024-11,,전통시장,서대문구,2024,11,음료
목동깨비시장(목3동시장),77.0,생수 500ml 1병,,600.0,2024-11,,전통시장,양천구,2024,11,음료
목동깨비시장(목3동시장),75.0,"소주 360ml, 1병",,1550.0,2024-11,,전통시장,양천구,2024,11,음료
목동깨비시장(목3동시장),76.0,맥주 500ml 1캔,,2300.0,2024-11,,전통시장,양천구,2024,11,음료
목동깨비시장(목3동시장),79.0,사이다 1.5L 1병,,2950.0,2024-11,,전통시장,양천구,2024,11,음료
동원시장,77.0,생수 500ml 1병,,500.0,2024-11,,전통시장,중랑구,2024,11,음료
동원시장,75.0,"소주 360ml, 1병",,1800.0,2024-11,,전통시장,중랑구,2024,11,음료
동원시장,76.0,맥주 500ml 1캔,,2500.0,2024-11,,전통시장,중랑구,2024,11,음료
동원시장,79.0,사이다 1.5L 1병,,3000.0,2024-11,,전통시장,중랑구,2024,11,음료
공릉동 도깨비시장,77.0,생수 500ml 1병,,650.0,2024-11,,전통시장,노원구,2024,11,음료
공릉동 도깨비시장,75.0,"소주 360ml, 1병",,1540.0,2024-11,,전통시장,노원구,2024,11,음료
공릉동 도깨비시장,76.0,맥주 500ml 1캔,,2380.0,2024-11,,전통시장,노원구,2024,11,음료
공릉동 도깨비시장,79.0,사이다 1.5L 1병,,2780.0,2024-11,,전통시장,노원구,2024,11,음료
장위전통시장,77.0,생수 500ml 1병,,600.0,2024-11,,전통시장,성북구,2024,11,음료
장위전통시장,75.0,"소주 360ml, 1병",,1600.0,2024-11,,전통시장,성북구,2024,11,음료
장위전통시장,76.0,맥주 500ml 1캔,,2400.0,2024-11,,전통시장,성북구,2024,11,음료
장위전통시장,79.0,사이다 1.5L 1병,,2800.0,2024-11,,전통시장,성북구,2024,11,음료
신영시장,77.0,생수 500ml 1병,,600.0,2024-11,,전통시장,양천구,2024,11,음료
신영시장,75.0,"소주 360ml, 1병",,1500.0,2024-11,,전통시장,양천구,2024,11,음료
신영시장,76.0,맥주 500ml 1캔,,2400.0,2024-11,,전통시장,양천구,2024,11,음료
신영시장,79.0,사이다 1.5L 1병,,2900.0,2024-11,,전통시장,양천구,2024,11,음료
비단길현대시장,77.0,생수 500ml 1병,,500.0,2024-11,,전통시장,금천구,2024,11,음료
비단길현대시장,75.0,"소주 360ml, 1병",,1500.0,2024-11,,전통시장,금천구,2024,11,음료
비단길현대시장,76.0,맥주 500ml 1캔,,2500.0,2024-11,,전통시장,금천구,2024,11,음료
비단길현대시장,79.0,사이다 1.5L 1병,,4800.0,2024-11,,전통시장,금천구,2024,11,음료
숭인시장,77.0,생수 500ml 1병,,600.0,2024-11,,전통시장,강북구,2024,11,음료
숭인시장,75.0,"소주 360ml, 1병",,1480.0,2024-11,,전통시장,강북구,2024,11,음료
숭인시장,76.0,맥주 500ml 1캔,,2150.0,2024-11,,전통시장,강북구,2024,11,음료
숭인시장,79.0,사이다 1.5L 1병,,2600.0,2024-11,,전통시장,강북구,2024,11,음료
상계중앙시장,77.0,생수 500ml 1병,,550.0,2024-11,,전통시장,노원구,2024,11,음료
상계중앙시장,75.0,"소주 360ml, 1병",,1550.0,2024-11,,전통시장,노원구,2024,11,음료
상계중앙시장,76.0,맥주 500ml 1캔,,2300.0,2024-11,,전통시장,노원구,2024,11,음료
상계중앙시장,79.0,사이다 1.5L 1병,,2800.0,2024-11,,전통시장,노원구,2024,11,음료
은행나무시장,79.0,사이다 1.5L 1병,,2980.0,2024-11,,전통시장,금천구,2024,11,음료
고분다리전통시장,77.0,생수 500ml 1병,,700.0,2024-11,,전통시장,강동구,2024,11,음료
고분다리전통시장,75.0,"소주 360ml, 1병",,1480.0,2024-11,,전통시장,강동구,2024,11,음료
고분다리전통시장,76.0,맥주 500ml 1캔,,2400.0,2024-11,,전통시장,강동구,2024,11,음료
고분다리전통시장,79.0,사이다 1.5L 1병,,3500.0,2024-11,,전통시장,강동구,2024,11,음료
