시장/마트 이름,품목 번호,품목 이름,실판매규격,가격(원),년도-월,비고,시장유형 구분(시장/마트) 이름,자치구 이름,년도,월,카테고리
백련시장,60.0,국수 900g,,2980.0,2024-11,,전통시장,서대문구,2024,11,가공식품
백련시장,61.0,라면 5개입 1봉,,3580.0,2024-11,,전통시장,서대문구,2024,11,가공식품
백련시장,62.0,컵라면 1개,,1250.0,2024-11,,전통시장,서대문구,2024,11,가공식품
백련시장,65.0,통조림(참치) 150g,,3480.0,2024-11,,전통시장,서대문구,2024,11,가공식품
백련시장,71.0,밀가루 1kg,,2000.0,2024-11,,전통시장,서대문구,2024,11,가공식품
영일시장,57.0,부침가루 1kg,,3400.0,2024-11,,전통시장,영등포구,2024,11,가공식품
영일시장,60.0,국수 900g,,3575.0,2024-11,,전통시장,영등포구,2024,11,가공식품
영일시장,61.0,라면 5개입 1봉,,4250.0,2024-11,,전통시장,영등포구,2024,11,가공식품
영일시장,62.0,컵라면 1개,,1300.0,2024-11,,전통시장,영등포구,2024,11,가공식품
영일시장,65.0,통조림(참치) 150g,,3200.0,2024-11,,전통시장,영등포구,2024,11,가공식품
영일시장,71.0,밀가루 1kg,,2000.0,2024-11,,전통시장,영등포구,2024,11,가공식품
대림중앙시장,57.0,부침가루 1kg,,3700.0,2024-11,,전통시장,영등포구,2024,11,가공식품
대림중앙시장,60.0,국수 900g,,3700.0,2024-11,,전통시장,영등포구,2024,11,가공식품
대림중앙시장,61.0,라면 5개입 1봉,,3780.0,2024-11,,전통시장,영등포구,2024,11,가공식품
대림중앙시장,62.0,컵라면 1개,,1350.0,2024-11,,전통시장,영등포구,2024,11,가공식품
대림중앙시장,65.0,통조림(참치) 150g,,3200.0,2024-11,,전통시장,영등포구,2024,11,가공식품
대림중앙시장,71.0,밀가루 1kg,,1980.0,2024-11,,전통시장,영등포구,2024,11,가공식품
중랑동부시장,63.0,부침가루 1kg,,16440.0,2024-11,,전통시장,중랑구,2024,11,가공식품
중랑동부시장,66.0,국수 900g,,4800.0,2024-11,,전통시장,중랑구,2024,11,가공식품
중랑동부시장,68.0,라면 5개입 1봉,,2980.0,2024-11,,전통시장,중랑구,2024,11,가공식품
중랑동부시장,70.0,컵라면 1개,,2600.0,2024-11,,전통시장,중랑구,2024,11,가공식품
중랑동부시장,77.0,통조림(참치) 150g,,700.0,2024-11,,전통시장,중랑구,2024,11,가공식품
청담삼익시장,57.0,부침가루 1kg,,4250.0,2024-11,,전통시장,강남구,2024,11,가공식품
청담삼익시장,60.0,국수 900g,,5600.0,2024-11,,전통시장,강남구,2024,11,가공식품
중랑동부시장,83.0,밀가루 1kg,,13800.0,2024-11,,전통시장,중랑구,2024,11,가공식품
청담삼익시장,61.0,라면 5개입 1봉,,4900.0,2024-11,,전통시장,강남구,2024,11,가공식품
청담삼익시장,62.0,컵라면 1개,,1400.0,2024-11,,전통시장,강남구,2024,11,가공식품
청담삼익시장,65.0,통조림(참치) 150g,,3200.0,2024-11,,전통시장,강남구,2024,11,가공식품
청담삼익시장,71.0,밀가루 1kg,,2500.0,2024-11,,전통시장,강남구,2024,11,가공식품
대림시장,57.0,부침가루 1kg,,3800.0,2024-11,,전통시장,은평구,2024,11,가공식품
대림시장,60.0,국수 900g,,4200.0,2024-11,,전통시장,은평구,2024,11,가공식품
대림시장,61.0,라면 5개입 1봉,,4500.0,2024-11,,전통시장,은평구,2024,11,가공식품
대림시장,62.0,컵라면 1개,,1300.0,2024-11,,전통시장,은평구,2024,11,가공식품
대림시장,65.0,통조림(참치) 150g,,3200.0,2024-11,,전통시장,은평구,2024,11,가공식품
대림시장,71.0,밀가루 1kg,,1800.0,2024-11,,전통시장,은평구,2024,11,가공식품
대신시장,57.0,부침가루 1kg,,3650.0,2024-11,,전통시장,영등포구,2024,11,가공식품
대신시장,60.0,국수 900g,,3550.0,2024-11,,전통시장,영등포구,2024,11,가공식품
대신시장,61.0,라면 5개입 1봉,,3900.0,2024-11,,전통시장,영등포구,2024,11,가공식품
대신시장,62.0,컵라면 1개,,1300.0,2024-11,,전통시장,영등포구,2024,11,가공식품
대신시장,65.0,통조림(참치) 150g,,3200.0,2024-11,,전통시장,영등포구,2024,11,가공식품
대신시장,71.0,밀가루 1kg,,1900.0,2024-11,,전통시장,영등포구,2024,11,가공식품
망원시장,57.0,부침가루 1kg,,2500.0,2024-11,,전통시장,마포구,2024,11,가공식품
망원시장,60.0,국수 900g,,3100.0,2024-11,,전통시장,마포구,2024,11,가공식품
망원시장,61.0,라면 5개입 1봉,,4500.0,2024-11,,전통시장,마포구,2024,11,가공식품
